time,human_hand_x
0,-0.47122
0.02,-0.47267
0.04,-0.47264
0.06,-0.47228
0.08,-0.47207
0.1,-0.47179
0.12,-0.47242
0.14,-0.47202
0.16,-0.47202
0.18,-0.4721
0.2,-0.47211
0.22,-0.47353
0.24,-0.47264
0.26,-0.47244
0.28,-0.47326
0.3,-0.47258
0.32,-0.47283
0.34,-0.47354
0.36,-0.47348
0.38,-0.47256
0.4,-0.47178
0.42,-0.47279
0.44,-0.47265
0.46,-0.47367
0.48,-0.47271
0.5,-0.47322
0.52,-0.47296
0.54,-0.47248
0.56,-0.47334
0.58,-0.47234
0.6,-0.47387
0.62,-0.47282
0.64,-0.47357
0.66,-0.47399
0.68,-0.47294
0.7,-0.47375
0.72,-0.47401
0.74,-0.47387
0.76,-0.47364
0.78,-0.47399
0.8,-0.47355
0.82,-0.47233
0.84,-0.47331
0.86,-0.4738
0.88,-0.47312
0.9,-0.47249
0.92,-0.47345
0.94,-0.47244
0.96,-0.47288
0.98,-0.47305
1,-0.47333
1.02,-0.47394
1.04,-0.47323
1.06,-0.47388
1.08,-0.47345
1.1,-0.47385
1.12,-0.47269
1.14,-0.4736
1.16,-0.47415
1.18,-0.47232
1.2,-0.47217
1.22,-0.47276
1.24,-0.47288
1.26,-0.47279
1.28,-0.47406
1.3,-0.47225
1.32,-0.47247
1.34,-0.47242
1.36,-0.47372
1.38,-0.47353
1.4,-0.47303
1.42,-0.47353
1.44,-0.47377
1.46,-0.47333
1.48,-0.47507
1.5,-0.47348
1.52,-0.47419
1.54,-0.4755
1.56,-0.47501
1.58,-0.4761
1.6,-0.47488
1.62,-0.4763
1.64,-0.47717
1.66,-0.47675
1.68,-0.47791
1.7,-0.47798
1.72,-0.47791
1.74,-0.4781
1.76,-0.47923
1.78,-0.47825
1.8,-0.479
1.82,-0.4797
1.84,-0.47873
1.86,-0.47922
1.88,-0.47965
1.9,-0.47914
1.92,-0.4799
1.94,-0.4798
1.96,-0.48006
1.98,-0.47827
2,-0.48014
2.02,-0.48018
2.04,-0.47862
2.06,-0.48026
2.08,-0.48017
2.1,-0.47956
2.12,-0.48027
2.14,-0.47926
2.16,-0.48079
2.18,-0.48097
2.2,-0.47977
2.22,-0.48085
2.24,-0.47963
2.26,-0.47945
2.28,-0.4802
2.3,-0.47945
2.32,-0.47979
2.34,-0.48094
2.36,-0.48029
2.38,-0.47918
2.4,-0.4805
2.42,-0.4797
2.44,-0.47926
2.46,-0.47997
2.48,-0.48043
2.5,-0.48031
2.52,-0.4797
2.54,-0.47995
2.56,-0.48058
2.58,-0.48053
2.6,-0.47946
2.62,-0.47935
2.64,-0.48083
2.66,-0.47935
2.68,-0.47924
2.7,-0.4806
2.72,-0.48058
2.74,-0.47974
2.76,-0.47928
2.78,-0.47995
2.8,-0.47989
2.82,-0.47916
2.84,-0.47965
2.86,-0.48037
2.88,-0.47965
2.9,-0.48017
2.92,-0.47934
2.94,-0.47924
2.96,-0.47902
2.98,-0.48041
3,-0.48021
3.02,-0.47925
3.04,-0.48066
3.06,-0.4807
3.08,-0.47885
3.1,-0.47897
3.12,-0.47881
3.14,-0.47888
3.16,-0.47891
3.18,-0.48069
3.2,-0.48077
3.22,-0.481
3.24,-0.48076
3.26,-0.48098
3.28,-0.48073
3.3,-0.47947
3.32,-0.48027
3.34,-0.48025
3.36,-0.48076
3.38,-0.48015
3.4,-0.48051
3.42,-0.48049
3.44,-0.48044
3.46,-0.47998
3.48,-0.47931
3.5,-0.47902
3.52,-0.47878
3.54,-0.47954
3.56,-0.47982
3.58,-0.4796
3.6,-0.47979
3.62,-0.47793
3.64,-0.4795
3.66,-0.47905
3.68,-0.47829
3.7,-0.47794
3.72,-0.47837
3.74,-0.47834
3.76,-0.47823
3.78,-0.478
3.8,-0.47751
3.82,-0.47796
3.84,-0.47654
3.86,-0.47766
3.88,-0.47705
3.9,-0.47609
3.92,-0.47638
3.94,-0.47443
3.96,-0.47512
3.98,-0.47402
4,-0.47319
4.02,-0.47309
4.04,-0.47151
4.06,-0.47085
4.08,-0.47022
4.1,-0.47062
4.12,-0.47026
4.14,-0.46945
4.16,-0.46976
4.18,-0.46989
4.2,-0.46921
4.22,-0.46853
4.24,-0.46796
4.26,-0.46903
4.28,-0.46742
4.3,-0.46665
4.32,-0.4663
4.34,-0.46734
4.36,-0.46651
4.38,-0.46585
4.4,-0.46586
4.42,-0.46584
4.44,-0.46625
4.46,-0.4654
4.48,-0.46438
4.5,-0.46507
4.52,-0.46485
4.54,-0.4638
4.56,-0.46338
4.58,-0.4636
4.6,-0.46412
4.62,-0.46328
4.64,-0.46333
4.66,-0.4637
4.68,-0.46355
4.7,-0.46341
4.72,-0.4633
4.74,-0.46436
4.76,-0.46421
4.78,-0.46338
4.8,-0.46484
4.82,-0.46347
4.84,-0.46424
4.86,-0.46351
4.88,-0.46321
4.9,-0.46462
4.92,-0.4647
4.94,-0.46454
4.96,-0.46301
4.98,-0.46427
5,-0.46391
5.02,-0.46465
5.04,-0.46479
5.06,-0.46426
5.08,-0.46392
5.1,-0.46325
5.12,-0.4642
5.14,-0.46506
5.16,-0.46413
5.18,-0.46311
5.2,-0.4649
5.22,-0.46318
5.24,-0.46346
5.26,-0.46444
5.28,-0.46391
5.3,-0.46298
5.32,-0.46418
5.34,-0.46399
5.36,-0.46278
5.38,-0.46415
5.4,-0.46502
5.42,-0.46402
5.44,-0.46374
5.46,-0.46404
5.48,-0.46377
5.5,-0.46308
5.52,-0.46424
5.54,-0.46395
5.56,-0.46401
5.58,-0.46399
5.6,-0.46277
5.62,-0.46277
5.64,-0.46328
5.66,-0.46238
5.68,-0.46268
5.7,-0.46323
5.72,-0.46346
5.74,-0.46388
5.76,-0.46378
5.78,-0.46406
5.8,-0.46524
5.82,-0.46593
5.84,-0.4661
5.86,-0.46559
5.88,-0.46553
5.9,-0.46634
5.92,-0.46605
5.94,-0.46475
5.96,-0.46511
5.98,-0.46549
6,-0.46557
6.02,-0.46432
6.04,-0.46521
6.06,-0.46474
6.08,-0.46444
6.1,-0.46481
6.12,-0.46329
6.14,-0.46475
6.16,-0.46379
6.18,-0.46337
6.2,-0.46444
6.22,-0.46415
6.24,-0.46601
6.26,-0.46589
6.28,-0.46733
6.3,-0.46698
6.32,-0.46731
6.34,-0.46875
6.36,-0.4681
6.38,-0.46943
6.4,-0.46822
6.42,-0.46842
6.44,-0.46903
6.46,-0.46863
6.48,-0.46893
6.5,-0.468
6.52,-0.46947
6.54,-0.46831
6.56,-0.46843
6.58,-0.46874
6.6,-0.46857
6.62,-0.46743
6.64,-0.46914
6.66,-0.46788
6.68,-0.46865
6.7,-0.46925
6.72,-0.46897
6.74,-0.46784
6.76,-0.46848
6.78,-0.46886
6.8,-0.46689
6.82,-0.46695
6.84,-0.46833
6.86,-0.46873
6.88,-0.46718
6.9,-0.46814
6.92,-0.46785
6.94,-0.46766
6.96,-0.46785
6.98,-0.46731
7,-0.46731
